,mean,std,count
pieces,-0.2003790059602243,0.0,1.0
exams,-0.20000202140668244,0.10566388390275244,2.0
kit,-0.19995629354966235,0.0,1.0
passed,-0.19978888294293365,0.01116842258987602,2.0
survey,-0.1996633062916211,0.07654534420895295,11.0
abortion,-0.19933085835434183,0.12683287057996595,2.0
provisional,-0.19908861086406265,0.0,1.0
load,-0.19880938712193283,0.1776568196889748,3.0
##SD,-0.19867502639493567,0.0,1.0
##riz,-0.19838468377646856,0.07905831392270157,2.0
interventions,-0.198146820391786,0.08045690882622225,8.0
months,-0.19812656925825395,0.0,1.0
referred,-0.19802680757120503,0.08573689736167463,6.0
Fever,-0.19770738186204262,0.0,1.0
provided,-0.19761426755125105,0.14965397245368314,32.0
##ages,-0.19751455860261538,0.23615236467739759,3.0
##itis,-0.197314639304844,0.16065537471949323,8.0
##roved,-0.19725835314537815,0.03403270437938574,2.0
description,-0.1970880689105012,0.0,1.0
hang,-0.19674586913231132,0.0,1.0
surgery,-0.19666298294208784,0.11838174100462509,12.0
extensive,-0.1957983715203907,0.0667431784477324,2.0
found,-0.195056569057473,0.15690097956328888,11.0
arranging,-0.1949679334226435,0.148238176992649,4.0
##copy,-0.19495405186607132,0.1992476002572276,15.0
middle,-0.19472829294495297,0.03704431268310863,4.0
##piration,-0.19472556140743771,0.0923658614420399,4.0
radio,-0.1946353987302967,0.10491750236554515,11.0
labs,-0.19461293554465312,0.1314330542430364,17.0
##cognition,-0.1944808899604092,0.2517339810870294,2.0
leg,-0.19447909855272053,0.057857373160845375,6.0
encouraged,-0.19440891725397616,0.0,1.0
pressures,-0.19437987403787982,0.0,1.0
anyone,-0.1942792969085015,0.09721196916012625,2.0
examination,-0.19394535524419423,0.1586062347698957,25.0
drops,-0.19388436755496333,0.0,1.0
war,-0.1936983380588621,0.0,1.0
##mind,-0.19367237724428465,0.14476868081398242,2.0
formal,-0.1933996336094533,0.11367687983346071,5.0
completed,-0.19332900114592302,0.11321478041981889,17.0
##fully,-0.1929555882231054,0.20524025596145784,8.0
##ized,-0.1929494028856494,0.09158667570503451,14.0
##ang,-0.19283339954632847,0.0,1.0
anchored,-0.1928170647164729,0.0,1.0
bored,-0.1926787324413824,0.0,1.0
##sta,-0.19264843194538106,0.0,1.0
booked,-0.19264025954222486,0.0,1.0
faces,-0.19233126244593604,0.0,1.0
radius,-0.19229976282329037,0.1528339377448995,10.0
agents,-0.19224712488045678,0.07797528277109173,4.0
##mat,-0.1922464800058362,0.08407436228059118,4.0
##hum,-0.19215366108243673,0.0,1.0
usage,-0.19212103495557012,0.0,1.0
##oxide,-0.191988110226876,0.0,1.0
para,-0.19148802781393093,0.08093233281123602,12.0
explanations,-0.19106144827249205,0.09790615555232325,2.0
def,-0.19092714397581811,0.13510515222906613,6.0
cases,-0.19073118948590465,0.16291159627826723,19.0
fallen,-0.19070833062593345,0.0,1.0
scalp,-0.19069205513991785,0.023297520614927833,3.0
factors,-0.1905828667497887,0.058786516563331864,10.0
travel,-0.19024101374113397,0.0,1.0
scenarios,-0.1901982254813228,0.06548793028003784,2.0
crush,-0.1899929676916613,0.0,1.0
hum,-0.1898455316766913,0.07315473561375221,3.0
Ed,-0.18983710596801515,0.0,1.0
hem,-0.18981557419637826,0.09256000367955876,29.0
confirmed,-0.18970871406567769,0.07508576141255613,11.0
hall,-0.1896904527289083,0.04252116708711627,3.0
